File Name,Clip Directory,Duration TC,,,Resolution,Video Codec,Description,Comments,,Location,Category,,,,,Bit Depth,,,,EDL Clip Name,Camera Type,,,Camera Format,Camera FPS,,,,Sensor,,,,,,Aspect Ratio Notes,License Type,Pricing Tier
A032_C078_09169V_V1-0143.mp4,,00:00:55:04,,,5120 x 2700,r3d,"Wide view of a yellow thorny seahorse, Hippocampus histrix, perched on seagrass, Komodo National Park, Indonesia, Pacific Ocean",yellow-thorny-seahorse-macro-wide,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,,,,,,,1.09,Commercial,Premium
A032_C079_09162S_V1-0144.mp4,,00:00:33:02,,,5120 x 2700,r3d,"Close-up of a yellow thorny seahorse, Hippocampus histrix, perched on seagrass, Komodo National Park, Indonesia, Pacific Ocean",yellow-thorny-seahorse-macro-mid,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,,,,,,,1.09,Commercial,Premium
A032_C080_091632_V1-0145.mp4,,00:00:37:58,,,5120 x 2700,r3d,"Portrait of a yellow thorny seahorse, Hippocampus histrix, perched on seagrass, Komodo National Park, Indonesia, Pacific Ocean",yellow-thorny-seahorse-macro-closeup,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,,,,,,,1.09,Commercial,Premium
A032_C053_0916QP_V1-0121.mp4,,00:00:31:45,,,5120 x 2700,r3d,"An ornate or harlequin ghost pipefish, Solenostomus paradoxus, hangs in the water column above the substrate, Komodo National Park, Indonesia, Pacific Ocean",yellow-ornate-ghostpipefish-algaes-seagrass,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,,,,,,,1.09,Commercial,Standard
A032_C090_0917VL_V2-0019.mp4,,00:00:08:85,,,5120 x 2700,r3d,"A smiling local woman shows off her brightly coloured sarongs, Bontoh village, Sangeang Island, Sumbawa, Indonesia, No Model Release",Woman-sarongs-village,,"Sumbawa, Indonesia",Culture,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 8:1,96,,,,,,,,,,1.09,Editorial,Standard
A031_C024_0915R9_V2-0014.mp4,,00:01:18:17,,,5120 x 2160,r3d,"A large school of elongate surgeonfish, Acanthurus mata, with giant trevally, Caranx ignobilis, lurking behind, Komodo National Park, Indonesia, Pacific Ocean",wide-shot-surgeonfish-school-giant-trevally,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,,,,,,,2.37,Commercial,Premium
A032_C094_09170N_V2-0022.mp4,,00:00:12:11,,,5120 x 2700,r3d,"Pan from left to right across two women standing in front of local homes with goats and chickens, Bontoh village, Sangeang Island, Sumbawa, Indonesia, No Model Release",wide-shot-ladies-villagers-front-of-huts-goat,,"Sumbawa, Indonesia",Culture,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 8:1,96,,,,,,,,,,1.09,Editorial,Standard
A032_C098_09171M_V2-0026.mp4,,00:00:35:06,,,5120 x 2700,r3d,"Colourful sarongs on a laundry line blowing in the wind on a beach, Bontoh village, Sangeang Island, Sumbawa, Indonesia",wide-colorful-local-fabric-hanging-in-the-wind,,"Sumbawa, Indonesia",Culture,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 8:1,96,,,,,,,,,,1.09,Commercial,Standard
A031_C016_09153P_V2-0005.mp4,,00:00:33:48,,,5120 x 2160,r3d,"A whitetip reef shark, Triaenodon obesus, swims in the water column surrounded by schools of fusiliers including Caesio xanthonota and Caesio teres, Komodo National Park, Indonesia, Pacific Ocean",white-tip-reefshark-reveal-fusillier-background,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,,,,,,,2.37,Commercial,Premium
A032_C007_0916DG_001.R3D,,00:00:23:46,,,5120 x 2160,r3d,"A whitetip reef shark, Triaenodon obesus, sits under a ledge in the Komodo National Park, Indonesia, Pacific Ocean",white-tip-reef-shark-overhang-wide,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2:37,Commercial,Premium
